amenity,name,lon,lat
pharmacy,Dogueria Droxi,-75.5852851,6.2265741
pharmacy,Dogueria la Ahorradora,-75.5855258,6.2263961
pharmacy,Drogueria Fundaderes,-75.5832097,6.2267121
pharmacy,Metro Farma La 45,-75.5547152,6.2687159
place_of_worship,Vientos de Paz,-75.5511922,6.2646354
pharmacy,Droguería Hidalgo,-75.5464232,6.2656245
pharmacy,Droguería Pentel,-75.5485703,6.2636489
place_of_worship,Primera Iglesia Bautista,-75.5607636,6.2533426
pharmacy,Droguería Albania,-75.5615884,6.2572446
clinic,,-75.5946754,6.2391321
clinic,,-75.5991632,6.2595678
bank,Banco de Bogotá,-75.5750933,6.196687
bank,Bancoomeva,-75.5739353,6.1991696
bank,Citibank,-75.5724648,6.2025334
bank,Bancolombia,-75.5864176,6.2053905
bank,Corficolombiana,-75.5774657,6.1903166
place_of_worship,,-75.5627364,6.2614839
pharmacy,Farmaster,-75.5649988,6.2469222
school,Corporación Educativa Tecnometropolis,-75.5612639,6.2522241
school,Mundo de los Niños,-75.5553697,6.2461103
bank,Banco de Occidente,-75.5803451,6.2177829
bank,Banco de Bogotá,-75.6050737,6.2510389
pharmacy,Droguería Sosalud,-75.6207673,6.2457424
pharmacy,Drogas el Huequito,-75.6030057,6.2556489
pharmacy,Surtifarmax,-75.60386,6.2510016
pharmacy,Droguería,-75.605181,6.2576152
pharmacy,,-75.6046593,6.2600215
pharmacy,Droguería Metro Avenida,-75.6141342,6.2583164
pharmacy,La Relief Drogueria,-75.5905589,6.2002135
pharmacy,Droguería La Promocion,-75.6035663,6.2385127
pharmacy,Droguería La 84,-75.6052454,6.2487233
pharmacy,Drogería Farmasur Medellín,-75.5911531,6.1953704
bank,Banco de Bogotá,-75.5849947,6.2581245
bank,Banco Caja Terminal,-75.5820215,6.2563834
bank,Banco de Occidente,-75.5832647,6.2569413
bank,Citibank,-75.6005649,6.238646
pharmacy,Droguería Alemana,-75.6023821,6.2342732
bank,Banco de Bogota,-75.5695331,6.2242103
bank,Banco de Occidente,-75.5695532,6.2236197
bank,Banco de Occidente,-75.5699301,6.2340586
college,Colegio La Anunciacion,-75.5486709,6.2321788
bank,Banco AV Villas,-75.5631736,6.2523174
bank,Banco de Española,-75.56266,6.2532093
bank,Bancolombia,-75.5653328,6.208817
pharmacy,Droguería Alemana,-75.5675107,6.2095749
school,Academia De Idiomas SMART,-75.5684562,6.2099742
pharmacy,Farma Fast,-75.5692294,6.2102535
pharmacy,MundoFarma,-75.5735061,6.2118927
bank,Banco Caja Social,-75.5673324,6.2092849
clinic,Clínica De Oncología Astorga,-75.5731943,6.2097609
nightclub,,-75.583589,6.2574614
pharmacy,Droguería Prosperidad,-75.5826592,6.2919511
pharmacy,Droguería Famidrogas M.R.,-75.5750028,6.299448
pharmacy,Droguería Las Ángeles,-75.5756559,6.2983096
